28,Woodrow Wilson,04/03/1913,04/03/1921,Democratic ,WoodrowWilson.jpg,thmb_WoodrowWilson.gif,New Jersey,http://en.wikipedia.org/wiki/Woodrow_Wilson
29,Warren G. Harding,04/03/1921,02/08/1923,Republican ,WarrenGHarding.jpg,thmb_WarrenGHarding.gif,Ohio,http://en.wikipedia.org/wiki/Warren_G._Harding
30,Calvin Coolidge,02/08/1923,04/03/1929,Republican ,CoolidgeWHPortrait.jpg,thmb_CoolidgeWHPortrait.gif,Massachusetts,http://en.wikipedia.org/wiki/Calvin_Coolidge
31,Herbert Hoover,04/03/1929,04/03/1933,Republican ,HerbertHover.jpg,thmb_HerbertHover.gif,Iowa,http://en.wikipedia.org/wiki/Herbert_Hoover
32,Franklin D. Roosevelt,04/03/1933,12/04/1945,Democratic,FranklinDRoosevelt.jpg,thmb_FranklinDRoosevelt.gif,New York,http://en.wikipedia.org/wiki/Franklin_D._Roosevelt
33,Harry S. Truman,12/04/1945,20/01/1953,Democratic,HarryTruman.jpg,thmb_HarryTruman.jpg,Missouri,http://en.wikipedia.org/wiki/Harry_S._Truman
34,Dwight D. Eisenhower,20/01/1953,20/01/1961,Republican ,Dwight_D_Eisenhower.jpg,thmb_Dwight_D_Eisenhower.jpg,Texas,http://en.wikipedia.org/wiki/Dwight_D._Eisenhower
35,John F. Kennedy,20/01/1961,22/11/1963,Democratic,John_F_Kennedy.jpg,thmb_John_F_Kennedy.jpg,Massachusetts,http://en.wikipedia.org/wiki/John_F._Kennedy
36,Lyndon B. Johnson,22/11/1963,20/01/1969,Democratic,Lyndon_B_Johnson.png,thmb_Lyndon_B_Johnson.gif,Texas,http://en.wikipedia.org/wiki/Lyndon_B._Johnson
37,Richard Nixon,20/01/1969,09/08/1974,Republican,RichardNixon.gif,thmb_RichardNixon.gif,California,http://en.wikipedia.org/wiki/Richard_Nixon
38,Gerald Ford,09/08/1974,20/01/1977,Republican,Gerald_R_Ford.jpg,thmb_Gerald_R_Ford.jpg,Michigan,http://en.wikipedia.org/wiki/Gerald_Ford
39,Jimmy Carter,20/01/1977,20/01/1981,Democratic ,James_E_Carter.jpg,thmb_James_E_Carter.gif,Georgia,http://en.wikipedia.org/wiki/Jimmy_Carter
40,Ronald Reagan,20/01/1981,20/01/1989,Republican ,ReaganWH.jpg,thmb_ReaganWH.jpg,California,http://en.wikipedia.org/wiki/Ronald_Reagan
41,George H. W. Bush,20/01/1989,20/01/1993,Republican ,George_H_W_Bush.jpg,thmb_George_H_W_Bush.gif,Texas,http://en.wikipedia.org/wiki/George_H._W._Bush
42,Bill Clinton,20/01/1993,20/01/2001,Democratic ,Clinton.jpg,thmb_Clinton.jpg,Arkansas,http://en.wikipedia.org/wiki/Bill_Clinton
43,George W. Bush,20/01/2001,20/01/2009,Republican ,George_W_Bush.jpg,thmb_George_W_Bush.jpg,Texas,http://en.wikipedia.org/wiki/George_W._Bush
44,Barack Obama,20/01/2009,20/01/2013,  Democratic   ,Barack_Obama.jpg,thmb_Barack_Obama.jpg,Illinois,http://en.wikipedia.org/wiki/Barack_Obama
